filename,form_score,grade,evaluation_comment,rom_degrees,torso_stability,movement_smoothness,symmetry_difference_deg,total_reps,correct_rep_ratio_pct,duration_seconds,peak_flexion_deg,peak_extension_deg,frame_count
output_false_1.csv,34.61,Poor,"Poor form requiring significant corrections. Strengths: excellent range of motion (155.4°), stable torso (4.8°), excellent peak contraction (15.8°). Issues: slightly uncontrolled motion (smoothness: 14.5), significant arm imbalance (145.7° difference), poor rep quality (0% correct reps). Review proper biceps curl technique and focus on controlled, stable movement.",155.4,4.78,14.51,145.7,1,0.0,2.07,15.8,171.3,63
output_false_10.csv,17.02,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (119.5°), smooth controlled movement (smoothness: 6.3). Issues: moderate body swaying (torso instability: 6.9°), significant arm imbalance (119.5° difference), insufficient flexion (only 42.5° at peak). Review proper biceps curl technique and focus on controlled, stable movement.",119.5,6.87,6.28,119.5,0,0.0,4.04,42.5,162.0,98
output_false_11.csv,37.54,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (134.7°), stable torso (3.3°), smooth controlled movement (smoothness: 8.0). Issues: significant arm imbalance (134.7° difference), inconsistent rep quality (50% correct reps). Review proper biceps curl technique and focus on controlled, stable movement.",134.7,3.28,7.96,134.7,3,50.0,8.32,37.8,172.5,251
output_false_12.csv,33.11,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (133.2°), stable torso (3.9°), smooth controlled movement (smoothness: 6.1). Issues: significant arm imbalance (133.2° difference), inconsistent rep quality (50% correct reps). Review proper biceps curl technique and focus on controlled, stable movement.",133.2,3.9,6.1,133.2,4,50.0,16.35,39.2,172.4,491
output_false_13.csv,40.77,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (115.2°), stable torso (2.7°). Issues: slightly uncontrolled motion (smoothness: 8.7), significant arm imbalance (115.2° difference), incomplete extension (only 155.2°). Review proper biceps curl technique and focus on controlled, stable movement.",115.2,2.66,8.71,115.2,0,0.0,6.16,40.0,155.2,155
output_false_14.csv,32.0,Poor,"Poor form requiring significant corrections. Strengths: excellent range of motion (166.0°), balanced bilateral movement (1.9° difference), excellent peak contraction (7.8°). Issues: excessive body movement (torso instability: 44.6°), jerky movement pattern (smoothness: 38.4), poor rep quality (0% correct reps). Review proper biceps curl technique and focus on controlled, stable movement.",166.0,44.6,38.4,1.9,11,0.0,21.08,7.8,173.8,528
output_false_15.csv,81.84,Good,"Good form with minor areas for improvement. Strengths: good range of motion (95.0°), stable torso (2.5°), smooth controlled movement (smoothness: 5.9). Issues: significant arm imbalance (95.0° difference), insufficient flexion (only 69.9° at peak). Focus on addressing the minor issues to reach excellent form.",95.0,2.53,5.91,95.0,0,0.0,2.9,69.9,164.9,89
output_false_16.csv,36.75,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (146.5°), stable torso (3.9°), excellent peak contraction (3.0°). Issues: slightly uncontrolled motion (smoothness: 9.3), significant arm imbalance (146.5° difference), incomplete extension (only 149.6°). Review proper biceps curl technique and focus on controlled, stable movement.",146.5,3.9,9.27,146.5,0,0.0,10.6,3.0,149.6,318
output_false_17.csv,36.75,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (146.5°), stable torso (3.9°), excellent peak contraction (3.0°). Issues: slightly uncontrolled motion (smoothness: 9.3), significant arm imbalance (146.5° difference), incomplete extension (only 149.6°). Review proper biceps curl technique and focus on controlled, stable movement.",146.5,3.9,9.27,146.5,0,0.0,10.6,3.0,149.6,318
output_false_18.csv,29.93,Poor,"Poor form requiring significant corrections. Strengths: excellent range of motion (177.3°), stable torso (4.4°), balanced bilateral movement (5.9° difference). Issues: jerky movement pattern (smoothness: 15.3), poor rep quality (25% correct reps), too fast tempo (2.0s per rep). Review proper biceps curl technique and focus on controlled, stable movement.",177.3,4.44,15.32,5.9,8,25.0,15.98,1.9,179.2,480
output_false_19.csv,29.93,Poor,"Poor form requiring significant corrections. Strengths: excellent range of motion (177.3°), stable torso (4.4°), balanced bilateral movement (5.9° difference). Issues: jerky movement pattern (smoothness: 15.3), poor rep quality (25% correct reps), too fast tempo (2.0s per rep). Review proper biceps curl technique and focus on controlled, stable movement.",177.3,4.44,15.32,5.9,8,25.0,15.98,1.9,179.2,480
output_false_2.csv,33.67,Poor,"Poor form requiring significant corrections. Strengths: excellent range of motion (164.5°), excellent peak contraction (8.6°), full extension achieved (173.1°). Issues: moderate body swaying (torso instability: 7.2°), slightly uncontrolled motion (smoothness: 14.9), significant arm imbalance (133.6° difference). Review proper biceps curl technique and focus on controlled, stable movement.",164.5,7.16,14.91,133.6,1,50.0,2.16,8.6,173.1,66
output_false_3.csv,27.19,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (126.1°), smooth controlled movement (smoothness: 8.0), full extension achieved (179.2°). Issues: excessive body movement (torso instability: 12.5°), noticeable arm asymmetry (20.6° difference), insufficient flexion (only 53.1° at peak). Review proper biceps curl technique and focus on controlled, stable movement.",126.1,12.55,7.96,20.6,0,0.0,14.08,53.1,179.2,339
output_false_4.csv,18.29,Poor,"Poor form requiring significant corrections. Strengths: stable torso (3.8°), smooth controlled movement (smoothness: 5.0). Issues: limited range of motion (82.1°), significant arm imbalance (82.1° difference), insufficient flexion (only 49.4° at peak). Review proper biceps curl technique and focus on controlled, stable movement.",82.1,3.81,5.0,82.1,0,0.0,8.62,49.4,131.4,260
output_false_5.csv,52.87,Moderate,"Moderate form with several issues to address. Strengths: good range of motion (101.0°), smooth controlled movement (smoothness: 7.9). Issues: moderate body swaying (torso instability: 7.9°), significant arm imbalance (101.0° difference), insufficient flexion (only 64.9° at peak). Work on correcting the identified issues for better results.",101.0,7.93,7.92,101.0,0,0.0,1.99,64.9,165.9,61
output_false_6.csv,33.09,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (128.7°), stable torso (3.3°), smooth controlled movement (smoothness: 7.0). Issues: significant arm imbalance (128.7° difference). Review proper biceps curl technique and focus on controlled, stable movement.",128.7,3.27,6.99,128.7,0,0.0,4.97,35.1,163.7,150
output_false_7.csv,29.28,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (113.0°), excellent peak contraction (18.0°). Issues: excessive body movement (torso instability: 10.9°), jerky movement pattern (smoothness: 24.8), noticeable arm asymmetry (28.9° difference). Review proper biceps curl technique and focus on controlled, stable movement.",113.0,10.87,24.83,28.9,0,0.0,7.07,18.0,131.0,213
output_false_8.csv,29.22,Poor,"Poor form requiring significant corrections. Strengths: excellent range of motion (176.9°), balanced bilateral movement (8.7° difference), excellent peak contraction (2.7°). Issues: moderate body swaying (torso instability: 7.7°), jerky movement pattern (smoothness: 16.7), poor rep quality (25% correct reps). Review proper biceps curl technique and focus on controlled, stable movement.",176.9,7.73,16.71,8.7,4,25.0,7.78,2.7,179.5,234
output_false_9.csv,17.35,Poor,"Poor form requiring significant corrections. Strengths: good range of motion (120.3°). Issues: moderate body swaying (torso instability: 7.9°), slightly uncontrolled motion (smoothness: 8.2), significant arm imbalance (120.3° difference). Review proper biceps curl technique and focus on controlled, stable movement.",120.3,7.94,8.19,120.3,0,0.0,2.88,45.9,166.2,70
