video_name,Augmented Dataset,Initial Model,No Duration,Shorter True Videos,Symmetric Mean
1.mp4,Good Form (69.0%),Good Form (69.0%),Good Form (87.5%),Good Form (82.0%),Good Form (89.0%)
Biceps curl !!   Nutrition.mp4,Good Form (56.5%),Good Form (79.0%),Bad Form (50.0%),Good Form (65.0%),Good Form (56.0%)
Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,Good Form (63.0%),Good Form (89.5%),Good Form (70.5%),Good Form (77.5%),Bad Form (48.5%)
Biceps_Curl_Exercise_Video_Generated.mp4,Good Form (69.5%),Good Form (91.5%),Good Form (59.0%),Good Form (74.5%),Good Form (73.5%)
Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,Good Form (77.5%),Good Form (80.5%),Good Form (75.0%),Good Form (72.5%),Good Form (65.5%)
Video Project.mp4,Good Form (84.0%),Good Form (95.0%),Good Form (93.0%),Good Form (89.0%),Good Form (77.5%)
WhatsApp Video 2025-12-06 at 01.25.16.mp4,Good Form (91.0%),Good Form (79.5%),Good Form (83.5%),Good Form (90.0%),Good Form (78.5%)
perfect.mp4,Good Form (51.5%),Good Form (92.0%),Bad Form (45.5%),Good Form (72.5%),Good Form (63.0%)
toprak.mp4,Good Form (65.5%),Good Form (91.5%),Good Form (53.5%),Good Form (66.0%),Good Form (63.0%)
valid.mp4,Good Form (69.0%),Good Form (87.0%),Good Form (83.5%),Good Form (83.0%),Good Form (71.5%)
